Data,Close
07/2006,10000
08/2006,10209.047832277596
09/2006,10393.706693463138
10/2006,10815.619531507311
11/2006,10761.364483505766
12/2006,10965.147840409285
01/2007,11346.912309374531
02/2007,11209.029469135285
03/2007,11390.661882313692
04/2007,11509.497598206908
05/2007,11933.928490383121
06/2007,11792.247379383627
07/2007,11228.225993609321
08/2007,10906.424649218188
09/2007,10756.890383941081
10/2007,11069.97730466038
11/2007,10011.290881715115
12/2007,9852.250532611173
01/2008,8977.108213971844
02/2008,8869.484067904787
03/2008,8419.250063733109
04/2008,8909.292265754095
05/2008,9246.510984368731
06/2008,8358.9041104783
07/2008,8286.754826019243
08/2008,8771.060409058224
09/2008,7832.296341369515
10/2008,6791.268253387536
11/2008,6226.174587069221
12/2008,6035.203679461064
01/2009,6050.829238647217
02/2009,5491.760276510652
03/2009,5645.260427357567
04/2009,6593.165967337469
05/2009,6746.499406753903
06/2009,6802.944149717978
07/2009,7396.626755835153
08/2009,7771.915622238724
09/2009,8018.725934706544
10/2009,7618.845340351118
11/2009,7680.935438765581
12/2009,8374.173984721436
01/2010,8427.664917846025
02/2010,8872.285283838157
03/2010,9618.771647751513
04/2010,10109.692741278082
05/2010,9883.86542782094
06/2010,9447.90157672243
07/2010,9587.189877280674
08/2010,9394.212856035478
09/2010,9729.854996536114
10/2010,9959.069010510311
11/2010,10668.29937148415
12/2010,11348.635000020004
01/2011,11171.583525698567
02/2011,11501.233337192054
03/2011,11327.959100756467
04/2011,11237.222270952656
05/2011,11366.247197977296
06/2011,11063.067469429985
07/2011,10948.595456760238
08/2011,9909.70729404792
09/2011,9411.360787543224
10/2011,10146.998530742403
11/2011,10330.349396151396
12/2011,10620.152866486791
01/2012,11213.450243987389
02/2012,11487.209159538059
03/2012,11668.336851894313
04/2012,11706.24874912287
05/2012,11355.415929016606
06/2012,11586.915486089278
07/2012,11854.918265473007
08/2012,11923.057029406811
09/2012,12032.24008906318
10/2012,11900.991960452593
11/2012,12020.513068822756
12/2012,12200.278041927872
01/2013,12568.707065919927
02/2013,13074.104509316874
03/2013,13862.240396945006
04/2013,13741.376052945536
05/2013,13948.274561060967
06/2013,13565.978405246497
07/2013,14222.925446922247
08/2013,13987.14259576967
09/2013,14650.595197528139
10/2013,14946.818084634864
11/2013,15246.944352243341
12/2013,15398.67990033484
01/2014,15414.94471423657
02/2014,15872.010226837258
03/2014,15824.2794401257
04/2014,15485.739916937242
05/2014,15933.718488757435
06/2014,16491.16003326042
07/2014,16151.484491568832
08/2014,16885.055600384418
09/2014,16699.387510987766
10/2014,17057.94333946208
11/2014,17184.007623160225
12/2014,17761.525428453326
01/2015,18725.215587522733
02/2015,19988.716147030707
03/2015,20917.291417573346
04/2015,20247.227453772266
05/2015,20992.077878082204
06/2015,20387.28060095508
07/2015,20703.218253113882
08/2015,19166.15451847219
09/2015,18362.59915986077
10/2015,19738.873260559343
11/2015,20780.430567923497
12/2015,19677.595877285636
01/2016,18087.924390749307
02/2016,18260.74253708312
03/2016,18926.72497145554
04/2016,19335.446313020773
05/2016,19998.08066102379
06/2016,19704.6202885621
07/2016,20764.465774350774
08/2016,20752.713371069836
09/2016,21002.153514441077
10/2016,20619.733023063225
11/2016,22105.531628884197
12/2016,22827.90158201491
01/2017,22881.59321737912
02/2017,23709.902767241132
03/2017,23667.647133643844
04/2017,23608.984076694353
05/2017,23135.562634732836
06/2017,23095.3830991086
07/2017,22977.90765518663
08/2017,22767.137123354194
09/2017,23696.742931500914
10/2017,24380.644335717738
11/2017,24462.6126228765
12/2017,24525.19463667712
01/2018,24440.290151742083
02/2018,23922.266076777247
03/2018,23719.55116535951
04/2018,24409.81158806025
05/2018,25867.918596861036
06/2018,25865.359648820835
07/2018,25998.29758528787
08/2018,26755.68226412411
09/2018,26535.72761379417
10/2018,24443.291184531223
11/2018,24503.54320206755
12/2018,22050.883064957914
01/2019,24235.035513906827
02/2019,25295.850796009036
03/2019,25534.15061830685
04/2019,26363.416661237265
05/2019,24778.148223177923
06/2019,25683.970606120904
07/2019,26354.534929781
08/2019,25713.040059494295
09/2019,26588.759239398085
10/2019,26666.2154653484
11/2019,27953.24153487306
12/2019,28263.946516133557
01/2020,27923.661447238137
02/2020,25521.49314869799
03/2020,20249.714005096874
04/2020,23133.569613652857
05/2020,24183.6179720039
06/2020,24661.64355302832
07/2020,24213.364915471284
08/2020,25389.891841656798
09/2020,25324.27391830956
10/2020,25334.46126135257
11/2020,28534.43128228744
12/2020,29901.01822564865
01/2021,30850.06227886913
02/2021,32421.017519946625
03/2021,34214.508767933134
04/2021,34482.223612683614
05/2021,34424.53963704669
06/2021,35406.38399658524
07/2021,35134.79009884299
08/2021,36151.88458964158
09/2021,35788.67244124593
10/2021,36859.94638820228
11/2021,35930.34589049704
12/2021,37370.587483629206
01/2022,35063.04675156806
02/2022,34993.206187214884
03/2022,35618.48265222425
04/2022,34576.01705398789
05/2022,33936.32026431406
06/2022,31497.965110923007
07/2022,34995.440709025504
08/2022,34515.60739124327
09/2022,31764.436560623995
10/2022,33735.08758624627
11/2022,34208.104156957466
12/2022,32126.369575003187
01/2023,34553.562839313985